SID,SVOLT,SOV,TORN,SORN,TSN,TEMP,CURRENT
531,48.0,0.0,16,13,0-0-0000,0.0,3.104482e-12
531,48.0,0.0,16,14,0-0-0000,0.0,-6.000178e-13
531,48.0,0.0,16,15,0-0-0000,0.0,2.058211e-13
531,48.0,0.0,16,16,0-0-0000,0.0,-3.882038e-13
531,55.0,7.0,1,1,3-11-4517,36.0,-8.176136e-06
531,55.0,7.0,1,2,3-11-4517,36.062,-8.26725e-06
531,55.0,7.0,1,3,3-11-4517,36.0,-8.526125e-06
531,55.0,7.0,1,4,3-11-4517,36.062,-7.050592e-06
531,55.0,7.0,1,5,3-11-4517,36.062,-8.215241e-06
531,55.0,7.0,1,6,3-11-4517,36.062,-8.265673e-06
531,55.0,7.0,1,7,3-11-4517,36.062,-9.000949e-06
531,55.0,7.0,1,8,3-11-4517,36.062,-7.51041e-06
531,55.0,7.0,1,9,3-11-4517,36.062,-7.923364e-06
531,55.0,7.0,1,10,3-11-4517,36.062,-8.643592e-06
531,55.0,7.0,1,11,3-11-4517,36.125,-8.904481e-06
531,55.0,7.0,1,12,3-11-4517,36.062,-7.693101e-06
531,55.0,7.0,1,13,3-11-4517,36.125,-7.719197e-06
531,55.0,7.0,1,14,3-11-4517,36.062,-8.339781e-06
531,55.0,7.0,1,15,3-11-4517,36.125,-8.916604e-06
531,55.0,7.0,1,16,3-11-4517,36.062,-7.82156e-06
531,55.0,7.0,2,1,3-11-4519,36.937,-1.09462e-05
531,55.0,7.0,2,2,3-11-4519,37.0,-1.1064e-05
531,55.0,7.0,2,3,3-11-4519,36.937,-1.180024e-05
531,55.0,7.0,2,4,3-11-4519,37.0,-8.208051e-06
531,55.0,7.0,2,5,3-11-4519,36.937,-1.144237e-05
531,55.0,7.0,2,6,3-11-4519,37.0,-1.104241e-05
531,55.0,7.0,2,7,3-11-4519,37.0,-1.094634e-05
531,55.0,7.0,2,8,3-11-4519,36.937,-7.982356e-06
531,55.0,7.0,2,9,3-11-4519,37.0,-9.512036e-06
531,55.0,7.0,2,10,3-11-4519,36.937,-1.083238e-05
531,55.0,7.0,2,11,3-11-4519,37.0,-1.168363e-05
531,55.0,7.0,2,12,3-11-4519,37.0,-9.967533e-06
531,55.0,7.0,2,13,3-11-4519,37.0,-1.011342e-05
531,55.0,7.0,2,14,3-11-4519,37.0,-1.113065e-05
531,55.0,7.0,2,15,3-11-4519,37.0,-1.102064e-05
531,55.0,7.0,2,16,3-11-4519,37.0,-1.165118e-05
531,55.0,7.0,3,1,3-11-4520,36.812,-9.325575e-06
531,55.0,7.0,3,2,3-11-4520,36.875,-1.252365e-05
531,55.0,7.0,3,3,3-11-4520,36.875,-7.147258e-06
531,55.0,7.0,3,4,3-11-4520,36.875,-7.666779e-06
531,55.0,7.0,3,5,3-11-4520,36.875,-9.402566e-06
531,55.0,7.0,3,6,3-11-4520,36.875,-8.01948e-06
531,55.0,7.0,3,7,3-11-4520,36.875,-1.167303e-05
531,55.0,7.0,3,8,3-11-4520,36.875,-7.290426e-06
531,55.0,7.0,3,9,3-11-4520,36.937,-1.000347e-05
531,55.0,7.0,3,10,3-11-4520,36.875,-8.158213e-06
531,55.0,7.0,3,11,3-11-4520,36.937,-1.221547e-05
531,55.0,7.0,3,12,3-11-4520,36.875,-7.607235e-06
531,55.0,7.0,3,13,3-11-4520,36.875,-9.382786e-06
531,55.0,7.0,3,14,3-11-4520,36.875,-8.957573e-06
531,55.0,7.0,3,15,3-11-4520,36.937,-1.194363e-05
531,55.0,7.0,3,16,3-11-4520,36.937,-8.011863e-06
531,55.0,7.0,4,1,3-12-4521,36.812,-1.458956e-05
531,55.0,7.0,4,2,3-12-4521,36.875,-1.274308e-05
531,55.0,7.0,4,3,3-12-4521,36.812,-8.648567e-06
531,55.0,7.0,4,4,3-12-4521,36.875,-8.632229e-06
531,55.0,7.0,4,5,3-12-4521,36.875,-1.411333e-05
531,55.0,7.0,4,6,3-12-4521,36.875,-1.590275e-05
531,55.0,7.0,4,7,3-12-4521,36.875,-1.175319e-05
531,55.0,7.0,4,8,3-12-4521,36.875,-8.384683e-06
531,55.0,7.0,4,9,3-12-4521,36.875,-1.395013e-05
531,55.0,7.0,4,10,3-12-4521,36.875,-1.465221e-05
531,55.0,7.0,4,11,3-12-4521,36.937,-1.375709e-05
531,55.0,7.0,4,12,3-12-4521,36.937,-8.381008e-06
